,year,group,earn_perc_chng_from_total,group_legend
52,1995,diff_%_SC_total,-0.021691973969631236,Some College
53,1996,diff_%_SC_total,-0.019650655021834062,Some College
54,1997,diff_%_SC_total,0.0,Some College
55,1998,diff_%_SC_total,-0.026399155227032733,Some College
56,1999,diff_%_SC_total,-0.03615702479338843,Some College
57,2000,diff_%_SC_total,-0.03983656792645557,Some College
58,2001,diff_%_SC_total,-0.0335707019328586,Some College
59,2002,diff_%_SC_total,-0.0020408163265306124,Some College
60,2003,diff_%_SC_total,-0.03733602421796166,Some College
61,2004,diff_%_SC_total,-0.045090180360721446,Some College
62,2005,diff_%_SC_total,-0.047094188376753505,Some College
63,2006,diff_%_SC_total,-0.04462474645030426,Some College
64,2007,diff_%_SC_total,-0.03850050658561297,Some College
65,2008,diff_%_SC_total,-0.06493506493506493,Some College
66,2009,diff_%_SC_total,-0.08994197292069632,Some College
67,2010,diff_%_SC_total,-0.08932038834951456,Some College
68,2011,diff_%_SC_total,-0.087,Some College
69,2012,diff_%_SC_total,-0.09594460929772503,Some College
70,2013,diff_%_SC_total,-0.1001984126984127,Some College
71,2014,diff_%_SC_total,-0.09490509490509491,Some College
72,2015,diff_%_SC_total,-0.10160965794768612,Some College
73,2016,diff_%_SC_total,-0.10818713450292397,Some College
74,2017,diff_%_SC_total,-0.11078717201166181,Some College
75,2018,diff_%_SC_total,-0.1111111111111111,Some College
76,2019,diff_%_SC_total,-0.13925233644859814,Some College
77,2020,diff_%_SC_total,-0.13539823008849558,Some College
78,1995,diff_%_BA_total,0.3665943600867679,Bachelors Degree
79,1996,diff_%_BA_total,0.37445414847161573,Bachelors Degree
80,1997,diff_%_BA_total,0.38351648351648354,Bachelors Degree
81,1998,diff_%_BA_total,0.38753959873284055,Bachelors Degree
82,1999,diff_%_BA_total,0.3977272727272727,Bachelors Degree
83,2000,diff_%_BA_total,0.3687436159346272,Bachelors Degree
84,2001,diff_%_BA_total,0.3550356052899288,Bachelors Degree
85,2002,diff_%_BA_total,0.39387755102040817,Bachelors Degree
86,2003,diff_%_BA_total,0.3874873864783047,Bachelors Degree
87,2004,diff_%_BA_total,0.343687374749499,Bachelors Degree
88,2005,diff_%_BA_total,0.3527054108216433,Bachelors Degree
89,2006,diff_%_BA_total,0.3752535496957404,Bachelors Degree
90,2007,diff_%_BA_total,0.3738601823708207,Bachelors Degree
91,2008,diff_%_BA_total,0.3146853146853147,Bachelors Degree
92,2009,diff_%_BA_total,0.3152804642166344,Bachelors Degree
93,2010,diff_%_BA_total,0.30097087378640774,Bachelors Degree
94,2011,diff_%_BA_total,0.3,Bachelors Degree
95,2012,diff_%_BA_total,0.2799208704253215,Bachelors Degree
96,2013,diff_%_BA_total,0.32242063492063494,Bachelors Degree
97,2014,diff_%_BA_total,0.3106893106893107,Bachelors Degree
98,2015,diff_%_BA_total,0.3329979879275654,Bachelors Degree
99,2016,diff_%_BA_total,0.3255360623781676,Bachelors Degree
100,2017,diff_%_BA_total,0.3333333333333333,Bachelors Degree
101,2018,diff_%_BA_total,0.2825670498084291,Bachelors Degree
102,2019,diff_%_BA_total,0.27850467289719627,Bachelors Degree
103,2020,diff_%_BA_total,0.24955752212389382,Bachelors Degree
104,1995,diff_%_AD_total,0.8405639913232104,Advanced Degree
105,1996,diff_%_AD_total,0.8580786026200873,Advanced Degree
106,1997,diff_%_AD_total,0.8736263736263736,Advanced Degree
107,1998,diff_%_AD_total,0.8268215417106652,Advanced Degree
108,1999,diff_%_AD_total,0.8181818181818182,Advanced Degree
109,2000,diff_%_AD_total,0.7364657814096016,Advanced Degree
110,2001,diff_%_AD_total,0.7741607324516785,Advanced Degree
111,2002,diff_%_AD_total,0.8224489795918367,Advanced Degree
112,2003,diff_%_AD_total,0.7891019172552977,Advanced Degree
113,2004,diff_%_AD_total,0.7925851703406813,Advanced Degree
114,2005,diff_%_AD_total,0.7344689378757515,Advanced Degree
115,2006,diff_%_AD_total,0.7647058823529411,Advanced Degree
116,2007,diff_%_AD_total,0.7710233029381965,Advanced Degree
117,2008,diff_%_AD_total,0.7372627372627373,Advanced Degree
118,2009,diff_%_AD_total,0.7456479690522244,Advanced Degree
119,2010,diff_%_AD_total,0.7514563106796116,Advanced Degree
120,2011,diff_%_AD_total,0.75,Advanced Degree
121,2012,diff_%_AD_total,0.7388724035608308,Advanced Degree
122,2013,diff_%_AD_total,0.7311507936507936,Advanced Degree
123,2014,diff_%_AD_total,0.6993006993006993,Advanced Degree
124,2015,diff_%_AD_total,0.7142857142857143,Advanced Degree
125,2016,diff_%_AD_total,0.7144249512670565,Advanced Degree
126,2017,diff_%_AD_total,0.6676384839650146,Advanced Degree
127,2018,diff_%_AD_total,0.6666666666666666,Advanced Degree
128,2019,diff_%_AD_total,0.6383177570093458,Advanced Degree
129,2020,diff_%_AD_total,0.6150442477876106,Advanced Degree
130,1995,diff_%_A_BA_total,0.2809110629067245,Asian + Bachelors Degree
131,1996,diff_%_A_BA_total,0.29475982532751094,Asian + Bachelors Degree
132,1997,diff_%_A_BA_total,0.3054945054945055,Asian + Bachelors Degree
133,1998,diff_%_A_BA_total,0.31573389651531153,Asian + Bachelors Degree
134,1999,diff_%_A_BA_total,0.30888429752066116,Asian + Bachelors Degree
135,2000,diff_%_A_BA_total,0.3350357507660878,Asian + Bachelors Degree
136,2001,diff_%_A_BA_total,0.34282807731434384,Asian + Bachelors Degree
137,2002,diff_%_A_BA_total,0.3306122448979592,Asian + Bachelors Degree
138,2003,diff_%_A_BA_total,0.28355196770938446,Asian + Bachelors Degree
139,2004,diff_%_A_BA_total,0.343687374749499,Asian + Bachelors Degree
140,2005,diff_%_A_BA_total,0.3226452905811623,Asian + Bachelors Degree
141,2006,diff_%_A_BA_total,0.35699797160243407,Asian + Bachelors Degree
142,2007,diff_%_A_BA_total,0.3738601823708207,Asian + Bachelors Degree
143,2008,diff_%_A_BA_total,0.35864135864135865,Asian + Bachelors Degree
144,2009,diff_%_A_BA_total,0.28916827852998067,Asian + Bachelors Degree
145,2010,diff_%_A_BA_total,0.30097087378640774,Asian + Bachelors Degree
146,2011,diff_%_A_BA_total,0.3,Asian + Bachelors Degree
147,2012,diff_%_A_BA_total,0.3293768545994065,Asian + Bachelors Degree
148,2013,diff_%_A_BA_total,0.4126984126984127,Asian + Bachelors Degree
149,2014,diff_%_A_BA_total,0.3876123876123876,Asian + Bachelors Degree
150,2015,diff_%_A_BA_total,0.42655935613682094,Asian + Bachelors Degree
151,2016,diff_%_A_BA_total,0.3723196881091618,Asian + Bachelors Degree
152,2017,diff_%_A_BA_total,0.446064139941691,Asian + Bachelors Degree
153,2018,diff_%_A_BA_total,0.3333333333333333,Asian + Bachelors Degree
154,2019,diff_%_A_BA_total,0.4336448598130841,Asian + Bachelors Degree
155,2020,diff_%_A_BA_total,0.34601769911504426,Asian + Bachelors Degree
156,1995,diff_%_A_AD_total,0.7635574837310195,Asian + Advanced Degree
157,1996,diff_%_A_AD_total,0.7969432314410481,Asian + Advanced Degree
158,1997,diff_%_A_AD_total,0.9,Asian + Advanced Degree
159,1998,diff_%_A_AD_total,0.7539598732840549,Asian + Advanced Degree
160,1999,diff_%_A_AD_total,0.746900826446281,Asian + Advanced Degree
161,2000,diff_%_A_AD_total,0.8355464759959143,Asian + Advanced Degree
162,2001,diff_%_A_AD_total,0.930824008138352,Asian + Advanced Degree
163,2002,diff_%_A_AD_total,0.9173469387755102,Asian + Advanced Degree
164,2003,diff_%_A_AD_total,0.8496468213925328,Asian + Advanced Degree
165,2004,diff_%_A_AD_total,0.9258517034068137,Asian + Advanced Degree
166,2005,diff_%_A_AD_total,0.8787575150300602,Asian + Advanced Degree
167,2006,diff_%_A_AD_total,0.8377281947261663,Asian + Advanced Degree
168,2007,diff_%_A_AD_total,0.8125633232016211,Asian + Advanced Degree
169,2008,diff_%_A_AD_total,0.8821178821178821,Asian + Advanced Degree
170,2009,diff_%_A_AD_total,0.7891682785299806,Asian + Advanced Degree
171,2010,diff_%_A_AD_total,0.8757281553398059,Asian + Advanced Degree
172,2011,diff_%_A_AD_total,0.8,Asian + Advanced Degree
173,2012,diff_%_A_AD_total,0.811078140454995,Asian + Advanced Degree
174,2013,diff_%_A_AD_total,0.875,Asian + Advanced Degree
175,2014,diff_%_A_AD_total,0.9050949050949051,Asian + Advanced Degree
176,2015,diff_%_A_AD_total,0.903420523138833,Asian + Advanced Degree
177,2016,diff_%_A_AD_total,0.9444444444444444,Asian + Advanced Degree
178,2017,diff_%_A_AD_total,0.891156462585034,Asian + Advanced Degree
179,2018,diff_%_A_AD_total,0.8381226053639846,Asian + Advanced Degree
180,2019,diff_%_A_AD_total,0.9663551401869159,Asian + Advanced Degree
181,2020,diff_%_A_AD_total,0.9026548672566371,Asian + Advanced Degree
182,1995,diff_%_A_SC_total,-0.04013015184381779,Asian + Some College
183,1996,diff_%_A_SC_total,-0.0851528384279476,Asian + Some College
184,1997,diff_%_A_SC_total,-0.07252747252747253,Asian + Some College
185,1998,diff_%_A_SC_total,-0.08764519535374868,Asian + Some College
186,1999,diff_%_A_SC_total,-0.07851239669421488,Asian + Some College
187,2000,diff_%_A_SC_total,-0.07967313585291114,Asian + Some College
188,2001,diff_%_A_SC_total,-0.0935910478128179,Asian + Some College
189,2002,diff_%_A_SC_total,-0.06836734693877551,Asian + Some College
190,2003,diff_%_A_SC_total,-0.07467204843592332,Asian + Some College
191,2004,diff_%_A_SC_total,-0.10420841683366733,Asian + Some College
192,2005,diff_%_A_SC_total,-0.09819639278557114,Asian + Some College
193,2006,diff_%_A_SC_total,-0.11764705882352941,Asian + Some College
194,2007,diff_%_A_SC_total,-0.07193515704154002,Asian + Some College
195,2008,diff_%_A_SC_total,-0.13086913086913088,Asian + Some College
196,2009,diff_%_A_SC_total,-0.1450676982591876,Asian + Some College
197,2010,diff_%_A_SC_total,-0.12815533980582525,Asian + Some College
198,2011,diff_%_A_SC_total,-0.125,Asian + Some College
199,2012,diff_%_A_SC_total,-0.1543026706231454,Asian + Some College
200,2013,diff_%_A_SC_total,-0.1349206349206349,Asian + Some College
201,2014,diff_%_A_SC_total,-0.12087912087912088,Asian + Some College
202,2015,diff_%_A_SC_total,-0.13380281690140844,Asian + Some College
203,2016,diff_%_A_SC_total,-0.1442495126705653,Asian + Some College
204,2017,diff_%_A_SC_total,-0.13313896987366375,Asian + Some College
205,2018,diff_%_A_SC_total,-0.14559386973180077,Asian + Some College
206,2019,diff_%_A_SC_total,-0.14766355140186915,Asian + Some College
207,2020,diff_%_A_SC_total,-0.13539823008849558,Asian + Some College
208,1995,diff_%_A_HS_total,-0.2418655097613883,Asian + High School
209,1996,diff_%_A_HS_total,-0.25436681222707425,Asian + High School
210,1997,diff_%_A_HS_total,-0.23186813186813188,Asian + High School
211,1998,diff_%_A_HS_total,-0.23970432946145723,Asian + High School
212,1999,diff_%_A_HS_total,-0.2365702479338843,Asian + High School
213,2000,diff_%_A_HS_total,-0.2216547497446374,Asian + High School
214,2001,diff_%_A_HS_total,-0.23499491353001017,Asian + High School
215,2002,diff_%_A_HS_total,-0.2153061224489796,Asian + High School
216,2003,diff_%_A_HS_total,-0.23007063572149344,Asian + High School
217,2004,diff_%_A_HS_total,-0.2545090180360721,Asian + High School
218,2005,diff_%_A_HS_total,-0.24549098196392785,Asian + High School
219,2006,diff_%_A_HS_total,-0.23529411764705882,Asian + High School
220,2007,diff_%_A_HS_total,-0.2137791286727457,Asian + High School
221,2008,diff_%_A_HS_total,-0.23876123876123875,Asian + High School
222,2009,diff_%_A_HS_total,-0.25338491295938104,Asian + High School
223,2010,diff_%_A_HS_total,-0.2504854368932039,Asian + High School
224,2011,diff_%_A_HS_total,-0.272,Asian + High School
225,2012,diff_%_A_HS_total,-0.29376854599406527,Asian + High School
226,2013,diff_%_A_HS_total,-0.2787698412698413,Asian + High School
227,2014,diff_%_A_HS_total,-0.25674325674325676,Asian + High School
228,2015,diff_%_A_HS_total,-0.2575452716297787,Asian + High School
229,2016,diff_%_A_HS_total,-0.25925925925925924,Asian + High School
230,2017,diff_%_A_HS_total,-0.27696793002915454,Asian + High School
231,2018,diff_%_A_HS_total,-0.2662835249042146,Asian + High School
232,2019,diff_%_A_HS_total,-0.2757009345794392,Asian + High School
233,2020,diff_%_A_HS_total,-0.3,Asian + High School
234,1995,diff_%_B_BA_total,0.19739696312364424,Black + Bachelors Degree
235,1996,diff_%_B_BA_total,0.17576419213973798,Black + Bachelors Degree
236,1997,diff_%_B_BA_total,0.15164835164835164,Black + Bachelors Degree
237,1998,diff_%_B_BA_total,0.14044350580781415,Black + Bachelors Degree
238,1999,diff_%_B_BA_total,0.2231404958677686,Black + Bachelors Degree
239,2000,diff_%_B_BA_total,0.1807967313585291,Black + Bachelors Degree
240,2001,diff_%_B_BA_total,0.19328585961342828,Black + Bachelors Degree
241,2002,diff_%_B_BA_total,0.22959183673469388,Black + Bachelors Degree
242,2003,diff_%_B_BA_total,0.218970736629667,Black + Bachelors Degree
243,2004,diff_%_B_BA_total,0.19438877755511022,Black + Bachelors Degree
244,2005,diff_%_B_BA_total,0.156312625250501,Black + Bachelors Degree
245,2006,diff_%_B_BA_total,0.13488843813387424,Black + Bachelors Degree
246,2007,diff_%_B_BA_total,0.1529888551165147,Black + Bachelors Degree
247,2008,diff_%_B_BA_total,0.15484515484515485,Black + Bachelors Degree
248,2009,diff_%_B_BA_total,0.11315280464216634,Black + Bachelors Degree
249,2010,diff_%_B_BA_total,0.12524271844660195,Black + Bachelors Degree
250,2011,diff_%_B_BA_total,0.15,Black + Bachelors Degree
251,2012,diff_%_B_BA_total,0.08704253214638971,Black + Bachelors Degree
252,2013,diff_%_B_BA_total,0.2003968253968254,Black + Bachelors Degree
253,2014,diff_%_B_BA_total,0.11488511488511488,Black + Bachelors Degree
254,2015,diff_%_B_BA_total,0.16700201207243462,Black + Bachelors Degree
255,2016,diff_%_B_BA_total,0.07017543859649122,Black + Bachelors Degree
256,2017,diff_%_B_BA_total,0.06705539358600583,Black + Bachelors Degree
257,2018,diff_%_B_BA_total,0.06800766283524905,Black + Bachelors Degree
258,2019,diff_%_B_BA_total,0.06542056074766354,Black + Bachelors Degree
259,2020,diff_%_B_BA_total,0.05663716814159292,Black + Bachelors Degree
260,1995,diff_%_B_AD_total,0.6008676789587852,Black + Advanced Degree
261,1996,diff_%_B_AD_total,0.5469432314410481,Black + Advanced Degree
262,1997,diff_%_B_AD_total,0.5,Black + Advanced Degree
263,1998,diff_%_B_AD_total,0.5205913410770855,Black + Advanced Degree
264,1999,diff_%_B_AD_total,0.5723140495867769,Black + Advanced Degree
265,2000,diff_%_B_AD_total,0.46884576098059244,Black + Advanced Degree
266,2001,diff_%_B_AD_total,0.4842319430315361,Black + Advanced Degree
267,2002,diff_%_B_AD_total,0.5346938775510204,Black + Advanced Degree
268,2003,diff_%_B_AD_total,0.4772956609485368,Black + Advanced Degree
269,2004,diff_%_B_AD_total,0.5531062124248497,Black + Advanced Degree
270,2005,diff_%_B_AD_total,0.503006012024048,Black + Advanced Degree
271,2006,diff_%_B_AD_total,0.49290060851926976,Black + Advanced Degree
272,2007,diff_%_B_AD_total,0.5217831813576495,Black + Advanced Degree
273,2008,diff_%_B_AD_total,0.5664335664335665,Black + Advanced Degree
274,2009,diff_%_B_AD_total,0.4932301740812379,Black + Advanced Degree
275,2010,diff_%_B_AD_total,0.39611650485436894,Black + Advanced Degree
276,2011,diff_%_B_AD_total,0.4,Black + Advanced Degree
277,2012,diff_%_B_AD_total,0.5361028684470821,Black + Advanced Degree
278,2013,diff_%_B_AD_total,0.5,Black + Advanced Degree
279,2014,diff_%_B_AD_total,0.42957042957042957,Black + Advanced Degree
280,2015,diff_%_B_AD_total,0.4275653923541248,Black + Advanced Degree
281,2016,diff_%_B_AD_total,0.3723196881091618,Black + Advanced Degree
282,2017,diff_%_B_AD_total,0.3780369290573372,Black + Advanced Degree
283,2018,diff_%_B_AD_total,0.3888888888888889,Black + Advanced Degree
284,2019,diff_%_B_AD_total,0.3766355140186916,Black + Advanced Degree
285,2020,diff_%_B_AD_total,0.38761061946902653,Black + Advanced Degree
286,1995,diff_%_B_SC_total,-0.16702819956616052,Black + Some College
287,1996,diff_%_B_SC_total,-0.17358078602620086,Black + Some College
288,1997,diff_%_B_SC_total,-0.16043956043956045,Black + Some College
289,1998,diff_%_B_SC_total,-0.1446673706441394,Black + Some College
290,1999,diff_%_B_SC_total,-0.16322314049586778,Black + Some College
291,2000,diff_%_B_SC_total,-0.15934627170582227,Black + Some College
292,2001,diff_%_B_SC_total,-0.1607324516785351,Black + Some College
293,2002,diff_%_B_SC_total,-0.15816326530612246,Black + Some College
294,2003,diff_%_B_SC_total,-0.16548940464177597,Black + Some College
295,2004,diff_%_B_SC_total,-0.1843687374749499,Black + Some College
296,2005,diff_%_B_SC_total,-0.19138276553106212,Black + Some College
297,2006,diff_%_B_SC_total,-0.17647058823529413,Black + Some College
298,2007,diff_%_B_SC_total,-0.1752786220871327,Black + Some College
299,2008,diff_%_B_SC_total,-0.19880119880119881,Black + Some College
300,2009,diff_%_B_SC_total,-0.21083172147001933,Black + Some College
301,2010,diff_%_B_SC_total,-0.21941747572815534,Black + Some College
302,2011,diff_%_B_SC_total,-0.22,Black + Some College
303,2012,diff_%_B_SC_total,-0.24629080118694363,Black + Some College
304,2013,diff_%_B_SC_total,-0.25,Black + Some College
305,2014,diff_%_B_SC_total,-0.24075924075924077,Black + Some College
306,2015,diff_%_B_SC_total,-0.2454728370221328,Black + Some College
307,2016,diff_%_B_SC_total,-0.2387914230019493,Black + Some College
308,2017,diff_%_B_SC_total,-0.23129251700680273,Black + Some College
309,2018,diff_%_B_SC_total,-0.2777777777777778,Black + Some College
310,2019,diff_%_B_SC_total,-0.2644859813084112,Black + Some College
311,2020,diff_%_B_SC_total,-0.26902654867256637,Black + Some College
312,1995,diff_%_B_HS_total,-0.289587852494577,Black + High School
313,1996,diff_%_B_HS_total,-0.29366812227074235,Black + High School
314,1997,diff_%_B_HS_total,-0.2802197802197802,Black + High School
315,1998,diff_%_B_HS_total,-0.2703273495248152,Black + High School
316,1999,diff_%_B_HS_total,-0.2727272727272727,Black + High School
317,2000,diff_%_B_HS_total,-0.2900919305413687,Black + High School
318,2001,diff_%_B_HS_total,-0.28687690742624616,Black + High School
319,2002,diff_%_B_HS_total,-0.2653061224489796,Black + High School
320,2003,diff_%_B_HS_total,-0.26538849646821394,Black + High School
321,2004,diff_%_B_HS_total,-0.2545090180360721,Black + High School
322,2005,diff_%_B_HS_total,-0.28857715430861725,Black + High School
323,2006,diff_%_B_HS_total,-0.29411764705882354,Black + High School
324,2007,diff_%_B_HS_total,-0.3130699088145897,Black + High School
325,2008,diff_%_B_HS_total,-0.3206793206793207,Black + High School
326,2009,diff_%_B_HS_total,-0.316247582205029,Black + High School
327,2010,diff_%_B_HS_total,-0.31650485436893205,Black + High School
328,2011,diff_%_B_HS_total,-0.303,Black + High School
329,2012,diff_%_B_HS_total,-0.32443125618199803,Black + High School
330,2013,diff_%_B_HS_total,-0.3253968253968254,Black + High School
331,2014,diff_%_B_HS_total,-0.3066933066933067,Black + High School
332,2015,diff_%_B_HS_total,-0.3199195171026157,Black + High School
333,2016,diff_%_B_HS_total,-0.3313840155945419,Black + High School
334,2017,diff_%_B_HS_total,-0.33430515063168126,Black + High School
335,2018,diff_%_B_HS_total,-0.3333333333333333,Black + High School
336,2019,diff_%_B_HS_total,-0.36074766355140186,Black + High School
337,2020,diff_%_B_HS_total,-0.3380530973451327,Black + High School
338,1995,diff_%_W_BA_total,0.40130151843817785,White + Bachelors Degree
339,1996,diff_%_W_BA_total,0.37445414847161573,White + Bachelors Degree
340,1997,diff_%_W_BA_total,0.4,White + Bachelors Degree
341,1998,diff_%_W_BA_total,0.42555438225976766,White + Bachelors Degree
342,1999,diff_%_W_BA_total,0.3977272727272727,White + Bachelors Degree
343,2000,diff_%_W_BA_total,0.39734422880490294,White + Bachelors Degree
344,2001,diff_%_W_BA_total,0.3997965412004069,White + Bachelors Degree
345,2002,diff_%_W_BA_total,0.4387755102040816,White + Bachelors Degree
346,2003,diff_%_W_BA_total,0.3874873864783047,White + Bachelors Degree
347,2004,diff_%_W_BA_total,0.374749498997996,White + Bachelors Degree
348,2005,diff_%_W_BA_total,0.3867735470941884,White + Bachelors Degree
349,2006,diff_%_W_BA_total,0.4127789046653144,White + Bachelors Degree
350,2007,diff_%_W_BA_total,0.3738601823708207,White + Bachelors Degree
351,2008,diff_%_W_BA_total,0.35864135864135865,White + Bachelors Degree
352,2009,diff_%_W_BA_total,0.3152804642166344,White + Bachelors Degree
353,2010,diff_%_W_BA_total,0.30097087378640774,White + Bachelors Degree
354,2011,diff_%_W_BA_total,0.349,White + Bachelors Degree
355,2012,diff_%_W_BA_total,0.3066271018793274,White + Bachelors Degree
356,2013,diff_%_W_BA_total,0.32242063492063494,White + Bachelors Degree
357,2014,diff_%_W_BA_total,0.33266733266733267,White + Bachelors Degree
358,2015,diff_%_W_BA_total,0.3611670020120724,White + Bachelors Degree
359,2016,diff_%_W_BA_total,0.3713450292397661,White + Bachelors Degree
360,2017,diff_%_W_BA_total,0.33430515063168126,White + Bachelors Degree
361,2018,diff_%_W_BA_total,0.289272030651341,White + Bachelors Degree
362,2019,diff_%_W_BA_total,0.29158878504672897,White + Bachelors Degree
363,2020,diff_%_W_BA_total,0.26902654867256637,White + Bachelors Degree
364,1995,diff_%_W_AD_total,0.8806941431670282,White + Advanced Degree
365,1996,diff_%_W_AD_total,0.8842794759825328,White + Advanced Degree
366,1997,diff_%_W_AD_total,0.9197802197802197,White + Advanced Degree
367,1998,diff_%_W_AD_total,0.8268215417106652,White + Advanced Degree
368,1999,diff_%_W_AD_total,0.8181818181818182,White + Advanced Degree
369,2000,diff_%_W_AD_total,0.8028600612870276,White + Advanced Degree
370,2001,diff_%_W_AD_total,0.8056968463886063,White + Advanced Degree
371,2002,diff_%_W_AD_total,0.8510204081632653,White + Advanced Degree
372,2003,diff_%_W_AD_total,0.822401614530777,White + Advanced Degree
373,2004,diff_%_W_AD_total,0.7925851703406813,White + Advanced Degree
374,2005,diff_%_W_AD_total,0.7695390781563126,White + Advanced Degree
375,2006,diff_%_W_AD_total,0.8103448275862069,White + Advanced Degree
376,2007,diff_%_W_AD_total,0.7852077001013171,White + Advanced Degree
377,2008,diff_%_W_AD_total,0.7502497502497503,White + Advanced Degree
378,2009,diff_%_W_AD_total,0.7707930367504836,White + Advanced Degree
379,2010,diff_%_W_AD_total,0.7514563106796116,White + Advanced Degree
380,2011,diff_%_W_AD_total,0.75,White + Advanced Degree
381,2012,diff_%_W_AD_total,0.7398615232443125,White + Advanced Degree
382,2013,diff_%_W_AD_total,0.7311507936507936,White + Advanced Degree
383,2014,diff_%_W_AD_total,0.7032967032967034,White + Advanced Degree
384,2015,diff_%_W_AD_total,0.7142857142857143,White + Advanced Degree
385,2016,diff_%_W_AD_total,0.7144249512670565,White + Advanced Degree
386,2017,diff_%_W_AD_total,0.6676384839650146,White + Advanced Degree
387,2018,diff_%_W_AD_total,0.6666666666666666,White + Advanced Degree
388,2019,diff_%_W_AD_total,0.6383177570093458,White + Advanced Degree
389,2020,diff_%_W_AD_total,0.6,White + Advanced Degree
390,1995,diff_%_W_SC_total,0.0,White + Some College
391,1996,diff_%_W_SC_total,0.010917030567685589,White + Some College
392,1997,diff_%_W_SC_total,0.0,White + Some College
393,1998,diff_%_W_SC_total,0.005279831045406547,White + Some College
394,1999,diff_%_W_SC_total,0.0,White + Some College
395,2000,diff_%_W_SC_total,-0.010214504596527068,White + Some College
396,2001,diff_%_W_SC_total,0.0,White + Some College
397,2002,diff_%_W_SC_total,-0.0020408163265306124,White + Some College
398,2003,diff_%_W_SC_total,-0.013118062563067608,White + Some College
399,2004,diff_%_W_SC_total,-0.014028056112224449,White + Some College
400,2005,diff_%_W_SC_total,-0.023046092184368736,White + Some College
401,2006,diff_%_W_SC_total,-0.010141987829614604,White + Some College
402,2007,diff_%_W_SC_total,-0.017223910840932118,White + Some College
403,2008,diff_%_W_SC_total,-0.04895104895104895,White + Some College
404,2009,diff_%_W_SC_total,-0.059961315280464215,White + Some College
405,2010,diff_%_W_SC_total,-0.06310679611650485,White + Some College
406,2011,diff_%_W_SC_total,-0.05,White + Some College
407,2012,diff_%_W_SC_total,-0.06923837784371908,White + Some College
408,2013,diff_%_W_SC_total,-0.07043650793650794,White + Some College
409,2014,diff_%_W_SC_total,-0.058941058941058944,White + Some College
410,2015,diff_%_W_SC_total,-0.06841046277665996,White + Some College
411,2016,diff_%_W_SC_total,-0.08576998050682261,White + Some College
412,2017,diff_%_W_SC_total,-0.07482993197278912,White + Some College
413,2018,diff_%_W_SC_total,-0.09961685823754789,White + Some College
414,2019,diff_%_W_SC_total,-0.09439252336448598,White + Some College
415,2020,diff_%_W_SC_total,-0.1,White + Some College
416,1995,diff_%_W_HS_total,-0.12581344902386118,White + High School
417,1996,diff_%_W_HS_total,-0.11244541484716157,White + High School
418,1997,diff_%_W_HS_total,-0.11208791208791209,White + High School
419,1998,diff_%_W_HS_total,-0.1235480464625132,White + High School
420,1999,diff_%_W_HS_total,-0.12706611570247933,White + High School
