Series ID,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,report_name,all_sex,male,female,all races,white,black,asian,his_lan,all_union,member,repped_by,non-union
LUU0252885100,429,454,473,491,505,499,519,533,554,582,592,595,599,606,611,615,641,657,654,704,764,776,835,Total black women,0,0,1,0,0,1,0,0,1,0,0,0
LUU0253212200,566,563,588,633,629,632,665,697,674,717,729,744,755,771,792,768,799,784,782,874,917,988,969,Black women in unions,0,0,1,0,0,1,0,0,0,1,0,0
LUU0253212300,551,557,588,622,621,630,656,691,668,710,720,741,747,779,788,768,790,773,766,875,923,980,958,Black women represented by unions,0,0,1,0,0,1,0,0,0,0,1,0
LUU0253212400,410,429,443,467,490,478,502,513,523,560,574,577,582,584,590,595,616,636,635,683,742,752,812,Black women non-union,0,0,1,0,0,1,0,0,0,0,0,1
LUU0254468400,615,639,658,693,708,753,784,830,861,880,855,866,920,942,953,993,1021,1043,1095,1174,1310,1328,1401,Total Asian,1,0,0,0,0,0,1,0,1,0,0,0
LUU0254469300,670,683,706,759,765,809,834,853,902,907,909,961,977,961,979,1094,1020,1112,1119,1173,1240,1267,1402,Asian in union,1,0,0,0,0,0,1,0,0,1,0,0
LUU0254469400,675,674,705,760,774,805,840,881,908,919,918,962,986,971,998,1107,1017,1126,1121,1158,1247,1256,1408,Asian represented by unions,1,0,0,0,0,0,1,0,0,0,1,0
LUU0254469500,606,632,650,681,691,744,774,823,852,870,842,846,907,937,948,977,1022,1034,1092,1179,1326,1334,1400,Asian non-union,1,0,0,0,0,0,1,0,0,0,0,1
LUU0254468500,685,732,756,772,802,825,882,936,966,952,936,970,1055,1059,1080,1129,1151,1207,1241,1336,1447,1453,1559,Total asian men,0,1,0,0,0,0,1,0,1,0,0,0
LUU0254469600,704,727,733,783,775,819,838,867,927,888,924,964,1010,1044,1028,1097,1061,1169,1196,1151,1247,1307,1493,Asian men in unions,0,1,0,0,0,0,1,0,0,1,0,0
LUU0254469700,712,724,734,775,786,817,852,898,939,906,941,983,1022,1044,1041,1125,1076,1176,1228,1135,1237,1326,1504,Asian men represented by unions,0,1,0,0,0,0,1,0,0,0,1,0
LUU0254469800,675,735,760,771,809,827,888,940,973,959,936,969,1062,1063,1087,1130,1160,1212,1243,1357,1477,1459,1566,Asian men non-union,0,1,0,0,0,0,1,0,0,0,0,1
LUU0254468600,547,563,566,598,613,665,699,731,753,779,773,751,770,819,841,877,902,903,937,1025,1143,1141,1234,Total asian women,0,0,1,0,0,0,1,0,1,0,0,0
LUU0254469900,609,620,669,710,756,789,828,842,880,936,904,959,946,897,939,1091,985,1007,1033,1216,1233,1248,1337,Asian women in unions,0,0,1,0,0,0,1,0,0,1,0,0
LUU0254470000,607,616,662,723,762,785,824,871,880,938,909,943,951,909,950,1090,975,1023,999,1180,1256,1218,1344,Asian women represented by unions,0,0,1,0,0,0,1,0,0,0,1,0
LUU0254470100,534,549,552,587,594,643,681,712,737,756,749,727,747,801,823,835,892,887,929,995,1124,1132,1220,Asian women non-union,0,0,1,0,0,0,1,0,0,0,0,1
LUU0252885400,399,417,424,440,456,471,486,503,529,541,535,549,568,578,594,604,624,655,680,706,758,777,823,Total Hispanic or Latino,1,0,0,0,0,0,0,1,1,0,0,0
LUU0253178000,576,570,622,632,679,673,686,736,733,774,771,811,840,838,811,862,886,897,912,954,1016,1032,1087,Hispanic or Latino in unions,1,0,0,0,0,0,0,1,0,1,0,0
LUU0253178100,573,564,616,622,670,661,681,729,724,763,766,804,823,832,795,847,876,880,900,926,1011,1001,1084,Hispanic or Latino in represnted by unions,1,0,0,0,0,0,0,1,0,0,1,0
LUU0253212500,381,402,409,419,428,449,469,487,512,516,512,520,530,547,573,586,608,629,657,686,730,755,804,Hispanic or Latino non-union,1,0,0,0,0,0,0,1,0,0,0,1
LUU0252885700,417,440,451,464,480,489,505,520,559,569,560,571,592,594,616,631,663,690,720,747,797,820,887,Total Hispanic or Latino men,0,1,0,0,0,0,0,1,1,0,0,0
LUU0253178200,614,610,663,664,697,713,732,793,778,824,804,859,881,895,860,901,908,952,978,1009,1076,1091,1133,Hispanic or Latino men in unions,0,1,0,0,0,0,0,1,0,1,0,0
LUU0253178300,608,607,651,652,690,704,724,782,765,813,800,856,868,884,838,887,901,929,962,992,1064,1048,1133,Hispanic or Latino men represented by unions,0,1,0,0,0,0,0,1,0,0,1,0
LUU0253178400,398,417,423,437,455,473,490,505,526,535,525,538,563,571,596,610,637,669,698,722,770,799,858,Hispanic or Latino men non-union,0,1,0,0,0,0,0,1,0,0,0,1
LUU0252886000,366,388,397,410,419,429,440,473,501,509,508,518,521,541,548,566,586,603,617,642,705,718,761,Total Hispanic or Latino women,0,0,1,0,0,0,0,1,1,0,0,0
LUU0253178500,490,482,560,586,623,609,607,675,654,683,729,743,767,763,757,778,844,810,836,875,955,949,1008,Hispanic or Latino women in unions,0,0,1,0,0,0,0,1,0,1,0,0
LUU0253178600,495,482,573,584,616,606,614,672,656,674,724,733,750,763,739,783,829,801,824,845,947,924,993,Hispanic or Latino women represented by unions,0,0,1,0,0,0,0,1,0,0,1,0
LUU0253178700,350,377,382,394,401,414,420,446,487,493,489,501,503,516,520,541,565,583,601,622,684,699,740,Hispanic or Latino women non-union,0,0,1,0,0,0,0,1,0,0,0,1
